Wall time,Step,Value
1739040264.8725555,0,1.9625698328018188
1739040352.8553808,1,1.8461811542510986
1739040440.0917778,2,1.781865119934082
1739040528.8577163,3,1.7255010604858398
1739040615.9297674,4,1.680481195449829
1739040703.1253514,5,1.6422576904296875
1739040790.7538,6,1.6166576147079468
1739040878.017713,7,1.5961127281188965
1739040965.9110918,8,1.5742661952972412
1739041052.9966388,9,1.5683597326278687
1739041141.1133955,10,1.4784048795700073
1739041228.1750498,11,1.4165327548980713
1739041316.2316825,12,1.3605152368545532
1739041403.4018483,13,1.2948015928268433
1739041490.5633087,14,1.2253286838531494
1739041578.6747286,15,1.1786919832229614
1739041665.839757,16,1.1164449453353882
1739041753.0397744,17,1.0762916803359985
1739041841.8161244,18,1.0378601551055908
1739041928.8925529,19,0.9930723309516907
1739042017.2561152,20,0.95451420545578
1739042104.036141,21,0.9261295199394226
1739042192.859934,22,0.8969454765319824
1739042279.522709,23,0.8704116940498352
1739042368.685803,24,0.8376671075820923
1739042455.6620634,25,0.8108466267585754
1739042543.4143167,26,0.7984469532966614
1739042629.984799,27,0.7545367479324341
1739042717.8050683,28,0.7290357947349548
1739042804.274167,29,0.7246123552322388
1739042892.7394967,30,0.6880151629447937
1739042979.2096028,31,0.6713382601737976
1739043066.714512,32,30175.859375
1739043150.8089485,33,2.307983875274658
1739043235.4396148,34,2.3032262325286865
1739043320.625472,35,2.3027377128601074
1739043404.679776,36,2.302692413330078
1739043488.9199097,37,2.302686929702759
1739043575.2988813,38,2.302692413330078
1739043659.3290744,39,2.3026833534240723
1739043744.1652353,40,2.3026914596557617
1739043828.274028,41,2.3026955127716064
1739043912.2871401,42,2.302668333053589
1739043997.128349,43,2.3026835918426514
1739044083.0423841,44,2.3026933670043945
1739044167.3456151,45,2.3026607036590576
1739044251.3602715,46,2.3026933670043945
1739044336.647067,47,248514.453125
1739044420.7188413,48,2.302683115005493
1739044505.5705826,49,2.3026931285858154
1739044591.6012409,50,2.3026716709136963
1739044675.9967325,51,2.302666664123535
1739044761.004951,52,2.302673101425171
1739044847.076071,53,2.3026773929595947
1739044931.3255086,54,2.302671432495117
1739045015.5653532,55,2.302668333053589
1739045100.048658,56,2.302683115005493
