Wall time,Step,Value
1739028810.8074453,0,1.9894014596939087
1739028841.564184,1,1.8464221954345703
1739028873.506134,2,1.786687970161438
1739028904.5008264,3,1.7444157600402832
1739028935.645706,4,1.6840989589691162
1739028966.6791732,5,1.6474854946136475
1739028998.915081,6,1.6099603176116943
1739029030.956974,7,1.5933537483215332
1739029062.6669686,8,1.5730607509613037
1739029093.962399,9,1.5676418542861938
1739029125.051825,10,1.5243229866027832
1739029155.9725387,11,1.500293493270874
1739029187.3952394,12,1.4748046398162842
1739029218.5266552,13,1.4473633766174316
1739029405.2890306,0,1.9991471767425537
1739029435.1550798,1,1.8518352508544922
1739029465.9492202,2,1.7541526556015015
1739029497.67709,3,1.6927629709243774
1739029530.7333794,4,1.6502593755722046
1739029562.875058,5,1.6247118711471558
1739029595.2693462,6,1.6076836585998535
1739029626.5002422,7,1.5936421155929565
1739029658.2979085,8,1.5747228860855103
1739029689.3065214,9,1.5587546825408936
1739029720.0531995,10,1.5318042039871216
1739029751.5355866,11,1.5083600282669067
1739029782.539592,12,1.4890542030334473
1739029813.3659499,13,1.466139316558838
1739029844.017831,14,1.4493408203125
1739029875.2767577,15,1.4278831481933594
1739029907.142985,16,1.4097539186477661
1739029939.1199608,17,1.3948698043823242
1739029970.4035118,18,1.3811451196670532
1739030000.1508248,19,1.3641605377197266
1739030029.3066354,20,1.3524082899093628
1739030060.0003753,21,1.3328229188919067
1739030091.9995646,22,1.3176549673080444
1739030123.5982602,23,1.2961479425430298
1739030155.3526511,24,1.2827324867248535
1739030186.1427317,25,1.2616145610809326
1739030216.6294024,26,1.242376446723938
1739030246.7530506,27,1.2272366285324097
1739030278.3342428,28,1.20671546459198
1739030309.7137172,29,1.183772325515747
1739030341.1118128,30,1.1768099069595337
1739030371.6233065,31,1.1514073610305786
1739030403.2316427,32,1.1411855220794678
1739030434.622345,33,1.122408151626587
1739030464.7840528,34,1.105980396270752
1739030493.8123333,35,1.0912787914276123
1739030523.8198338,36,1.0815333127975464
1739030555.3185725,37,1.065392255783081
1739030587.3055935,38,1.0508487224578857
1739030617.1023388,39,1.0369480848312378
1739030646.4770298,40,1.0255862474441528
1739030675.9423957,41,1.0090693235397339
1739030707.3137438,42,0.9953315258026123
1739030739.4546535,43,0.9844475388526917
1739030770.485312,44,0.972588300704956
1739030802.3224416,45,0.9575564861297607
1739030832.1125767,46,0.9468724727630615
1739030861.7786555,47,0.9394290447235107
1739030893.4316201,48,0.9272826313972473
1739030925.0437622,49,0.9085439443588257
1739030956.7784433,50,0.8955514430999756
1739030988.3659716,51,0.885006308555603
1739031018.0351279,52,0.8711144328117371
1739031047.9991784,53,0.8619999885559082
1739031078.901694,54,0.8463717699050903
1739031110.5597632,55,0.8372184038162231
1739031142.638873,56,0.8236446976661682
1739031173.149672,57,0.8142093420028687
1739031202.8838496,58,0.8010410666465759
1739031234.0530665,59,0.7857103943824768
1739031265.937069,60,0.7761731147766113
1739031298.2985375,61,0.7589324712753296
1739031329.5486543,62,0.7577139735221863
1739031359.4840899,63,0.7443515062332153
1739031390.6153896,64,0.731932520866394
1739031422.6401956,65,0.7167067527770996
1739031454.4499924,66,0.7055259943008423
1739031485.6190295,67,0.6923791170120239
1739031515.1482718,68,0.6867671012878418
1739031546.5256891,69,0.6735966801643372
1739031576.4559014,70,0.6595873236656189
1739031606.4511526,71,0.6425690054893494
1739031638.18526,72,0.6368014216423035
1739031669.5526521,73,0.6244456768035889
1739031701.4982033,74,0.6154864430427551
1739031731.7754607,75,0.5954921841621399
1739031762.2918947,76,0.5862842798233032
1739031792.9265282,77,0.5780189633369446
1739031824.3541548,78,0.5606161952018738
1739031855.5199718,79,0.5476803183555603
1739031887.5308692,80,0.5412823557853699
1739031918.4178364,81,0.5288043022155762
1739031951.02304,82,0.5161446332931519
1739031983.296752,83,0.5026959180831909
1739032015.3077633,84,0.4919794499874115
1739032045.6659203,85,0.48305073380470276
1739032075.4708934,86,0.46954306960105896
1739032106.9096694,87,0.4615764319896698
1739032139.4580703,88,0.4437602460384369
1739032171.540246,89,0.4357547461986542
1739032202.9353955,90,0.4187542200088501
1739032233.2591543,91,0.4147185981273651
1739032263.7582006,92,0.406631201505661
1739032294.8104708,93,0.38603293895721436
1739032325.5817742,94,0.37870922684669495
1739032356.6380424,95,0.36560264229774475
1739032387.7581074,96,0.35609039664268494
1739032418.834877,97,0.34661853313446045
1739032449.8774364,98,0.34172019362449646
1739032480.822659,99,0.33482813835144043
1739032512.1467948,100,0.3178958296775818
1739032543.2841759,101,0.3165450394153595
1739032574.5554035,102,0.30086028575897217
1739032606.2041724,103,0.29497480392456055
1739032637.181037,104,0.283405601978302
1739032669.479557,105,0.27452653646469116
1739032700.7240856,106,0.2708226442337036
1739032731.554137,107,0.2690679728984833
1739032764.061061,108,0.2477191537618637
1739032796.2094824,109,0.24455946683883667
1739032828.458238,110,0.23364727199077606
1739032860.308178,111,0.22934553027153015
1739032892.2268462,112,0.22438806295394897
1739032924.118849,113,0.2151518017053604
1739032955.38631,114,0.21271352469921112
1739032986.5825515,115,0.19996227324008942
1739033018.0585032,116,0.19556324183940887
1739033049.5186987,117,0.1862032115459442
1739033083.090151,118,0.18128535151481628
1739033116.3767478,119,0.18419671058654785
1739033149.1419828,120,0.17205139994621277
1739033181.9873,121,0.16415034234523773
1739033213.9188838,122,0.1602354645729065
1739033245.7612712,123,0.1516336053609848
1739033277.1343486,124,0.15992291271686554
1739033307.9643013,125,0.1407853066921234
1739033339.3270183,126,0.14191730320453644
1739033369.937578,127,0.13711541891098022
