Wall time,Step,Value
1739023892.958234,0,25.95800018310547
1739024241.2280712,1,32.69599914550781
1739024601.3811986,2,35.6879997253418
1739024959.138037,3,37.27199935913086
1739025323.4027774,4,38.9739990234375
1739025685.0498714,5,40.77399826049805
1739026042.542996,6,41.604000091552734
1739026400.0156188,7,42.56399917602539
1739026757.771338,8,43.25600051879883
1739027116.099745,9,44.1619987487793
1739027475.6430144,10,45.720001220703125
1739027841.7657743,11,46.369998931884766
1739028206.951846,12,47.65599822998047
1739028573.7346013,13,48.76599884033203
1739028941.7109203,14,49.832000732421875
1739029309.752179,15,50.32400131225586
1739029677.5626996,16,51.262001037597656
1739030046.1393363,17,52.51599884033203
1739030413.8738744,18,53.14799880981445
1739030780.7010298,19,53.85599899291992
1739031145.766686,20,54.5880012512207
1739031509.1107488,21,55.900001525878906
1739031875.1820052,22,56.29399871826172
1739032241.0774405,23,56.76599884033203
1739032607.4757392,24,58.05400085449219
1739032973.641618,25,58.40599822998047
1739033338.6556861,26,58.93000030517578
1739033703.7537534,27,59.26599884033203
1739034068.5074294,28,60.12799835205078
1739034435.3484004,29,61.0260009765625
1739034803.412639,30,61.5
1739035177.860144,31,61.54199981689453
1739035551.6459036,32,62.38800048828125
1739035926.266822,33,62.90399932861328
1739036299.365344,34,63.34400177001953
1739036672.6535316,35,63.869998931884766
1739037047.865153,36,64.19200134277344
1739037422.3234782,37,64.37799835205078
1739037796.4685621,38,64.95800018310547
1739038170.646882,39,65.16600036621094
1739038545.0119174,40,65.7020034790039
1739038919.4905107,41,65.78199768066406
1739039293.973447,42,66.30999755859375
1739039668.5943992,43,66.80000305175781
1739040042.4834273,44,67.23999786376953
1739040417.1605258,45,67.47200012207031
1739040791.9619873,46,67.5979995727539
1739041165.6059735,47,68.08000183105469
1739041542.7047217,48,68.3499984741211
1739041918.7406645,49,68.5780029296875
1739042294.1610842,50,68.79199981689453
1739042669.0162206,51,69.57599639892578
1739043043.9419322,52,69.51200103759766
1739043418.1381404,53,70.09200286865234
1739043792.9316764,54,70.26399993896484
1739044167.3122177,55,70.48999786376953
1739044542.621869,56,71.22200012207031
1739044916.5461888,57,71.47000122070312
1739045290.8416097,58,71.52400207519531
1739045664.4794102,59,72.00199890136719
1739046039.7949488,60,72.37999725341797
1739046413.8180795,61,72.69200134277344
1739046789.4321008,62,72.58799743652344
1739047164.4364939,63,73.1500015258789
