Wall time,Step,Value
1739094375.121589,0,36.27000045776367
1739094465.2959132,1,48.375999450683594
1739094555.4012673,2,52.060001373291016
1739094645.89738,3,54.34199905395508
1739094736.5605912,4,54.4739990234375
1739094827.3513653,5,54.85200119018555
1739094918.192309,6,54.09600067138672
1739095009.4369557,7,52.91999816894531
1739095100.4553788,8,52.20800018310547
1739095191.6306515,9,50.27199935913086
1739095283.0621386,10,52.34199905395508
1739095374.6249316,11,54.284000396728516
1739095466.2892377,12,57.12200164794922
1739095558.5261369,13,59.7760009765625
1739095650.7185063,14,62.1879997253418
1739095743.005919,15,63.7599983215332
1739095835.850019,16,65.55400085449219
1739095929.551054,17,67.20999908447266
1739096024.09648,18,68.86000061035156
1739096119.2089448,19,69.93199920654297
1739096213.9861443,20,70.88400268554688
1739096309.433245,21,71.73799896240234
1739096405.44818,22,72.83200073242188
1739096501.4719594,23,73.65599822998047
1739096597.8646703,24,74.19200134277344
1739096694.312477,25,75.0260009765625
1739096789.9427419,26,75.62799835205078
1739096885.5250802,27,76.28199768066406
1739096981.4968615,28,76.77999877929688
1739097077.58362,29,77.56199645996094
1739097173.1972232,30,77.77200317382812
1739097268.366653,31,78.39199829101562
1739097363.8085868,32,78.78800201416016
1739097459.497,33,79.29000091552734
1739097555.3937547,34,79.84600067138672
1739097652.4869385,35,80.18000030517578
1739097750.5659416,36,80.43800354003906
1739097848.1245682,37,81.02400207519531
1739097943.4935257,38,81.12799835205078
1739098039.0795648,39,81.7699966430664
1739098135.3016438,40,82.1520004272461
1739098231.5316737,41,82.4260025024414
1739098327.0587108,42,82.56999969482422
1739098422.3770568,43,83.197998046875
1739098518.923192,44,83.25
1739098614.5959675,45,83.63200378417969
1739098710.5828595,46,84.05400085449219
1739098805.911091,47,84.09600067138672
1739098901.0781407,48,84.3740005493164
1739098995.6547456,49,84.67400360107422
1739099089.6895678,50,84.91999816894531
1739099180.8216836,51,85.36199951171875
1739099271.4651022,52,85.75199890136719
1739099363.0417361,53,85.89600372314453
1739099455.4944317,54,86.03199768066406
1739099548.8222456,55,86.30000305175781
1739099642.8439622,56,86.65399932861328
1739099734.010908,57,86.8759994506836
1739099825.1803699,58,87.05799865722656
1739099917.3237627,59,87.24199676513672
1739100009.3733385,60,87.44999694824219
1739100101.2176616,61,87.79000091552734
1739100193.244726,62,87.86799621582031
1739100284.844365,63,88.21399688720703
1739100376.4032578,64,88.2699966430664
1739100467.5336075,65,88.45999908447266
1739100558.3416584,66,88.58200073242188
1739100649.497267,67,88.9800033569336
1739100740.7620106,68,89.08599853515625
1739100833.0573297,69,89.2959976196289
1739100927.5897944,70,89.68599700927734
1739101022.173337,71,89.8479995727539
1739101115.8541446,72,89.72200012207031
1739101210.6920378,73,90.20999908447266
1739101306.2910228,74,90.44999694824219
1739101401.6790235,75,90.62200164794922
1739101499.956972,76,90.6780014038086
1739101596.553561,77,90.947998046875
1739101695.8427684,78,90.89199829101562
1739101788.8648818,79,91.12200164794922
1739101882.861665,80,91.4260025024414
1739101976.6035779,81,91.5979995727539
1739102071.3903003,82,91.64800262451172
1739102164.9697473,83,91.79399871826172
1739102256.2911525,84,92.00199890136719
1739102347.6631107,85,92.01599884033203
1739102439.7475104,86,92.30999755859375
1739102532.1341245,87,92.56400299072266
1739102623.9741259,88,92.56199645996094
1739102715.8149624,89,92.84400177001953
1739102807.5618675,90,92.99600219726562
1739102898.7343793,91,93.02999877929688
1739102989.5081024,92,93.2020034790039
1739103080.51958,93,93.27799987792969
1739103171.6047742,94,93.36799621582031
1739103262.6681468,95,93.81600189208984
1739103353.522831,96,93.86799621582031
1739103443.9117858,97,93.9260025024414
1739103535.3538303,98,94.052001953125
1739103627.5793738,99,94.16999816894531
1739103719.9723864,100,94.31800079345703
1739103811.9195688,101,94.58999633789062
1739103904.3415642,102,94.73600006103516
1739103996.8476422,103,94.81999969482422
1739104088.0364926,104,94.84200286865234
1739104179.143752,105,95.0719985961914
1739104270.0795705,106,95.06400299072266
1739104360.8567774,107,95.13400268554688
1739104451.551719,108,95.36000061035156
1739104542.219157,109,95.52799987792969
1739104638.0143056,110,95.53800201416016
1739104736.8534677,111,95.68399810791016
1739104829.7828088,112,95.76200103759766
1739104922.9917612,113,95.84200286865234
1739105022.127311,114,95.9219970703125
1739105117.0494573,115,96.15399932861328
1739105210.5248804,116,96.11399841308594
1739105301.453881,117,96.24199676513672
1739105391.7864013,118,96.14800262451172
1739105482.1209023,119,96.6520004272461
1739105572.561607,120,96.63200378417969
1739105663.3005428,121,96.70800018310547
1739105754.3980315,122,96.75199890136719
1739105846.2899175,123,96.947998046875
1739105938.6491609,124,96.96600341796875
1739106037.8666134,125,96.9280014038086
1739106129.7871747,126,97.18599700927734
1739106221.498913,127,97.37999725341797
1739106312.870077,128,97.34200286865234
1739106403.8652396,129,97.30799865722656
1739106506.1710308,130,97.48400115966797
1739106596.956095,131,97.55799865722656
1739106687.6222692,132,97.75199890136719
1739106778.308942,133,97.64600372314453
1739106869.2723403,134,97.7040023803711
1739106960.858227,135,97.78800201416016
1739107053.3913953,136,97.94400024414062
1739107147.5077233,137,98.08000183105469
1739107241.0679317,138,98.08200073242188
1739107344.8321564,139,98.03600311279297
1739107440.061481,140,98.14399719238281
1739107533.3602633,141,98.27799987792969
1739107624.7102861,142,98.27200317382812
1739107715.5395644,143,98.4739990234375
1739107806.4523883,144,98.51799774169922
1739107897.2109702,145,98.48600006103516
1739107988.909407,146,98.56600189208984
1739108081.1349332,147,98.63200378417969
1739108173.243194,148,98.6500015258789
1739108265.126321,149,98.76799774169922
1739108356.9230728,150,98.87999725341797
1739108448.945967,151,98.8219985961914
1739108540.6380982,152,98.84400177001953
1739108631.775925,153,99.04399871826172
1739108722.422181,154,98.86199951171875
1739108813.8051488,155,98.88600158691406
1739108906.1236687,156,99.04199981689453
1739108998.8181074,157,99.11000061035156
1739109091.9157724,158,99.10399627685547
1739109182.715337,159,99.11000061035156
1739109273.4151385,160,99.30000305175781
1739109364.0986423,161,99.26200103759766
1739109454.6094425,162,99.23799896240234
1739109545.2918212,163,99.29399871826172
1739109635.4763181,164,99.38800048828125
1739109726.1642041,165,99.30999755859375
1739109817.7363176,166,99.35399627685547
1739109908.6930091,167,99.40599822998047
1739110000.0423374,168,99.43399810791016
1739110091.0052226,169,99.50599670410156
1739110182.0744119,170,99.48999786376953
1739110273.2237852,171,99.44999694824219
1739110364.203332,172,99.53600311279297
1739110455.0897858,173,99.56199645996094
1739110545.7432146,174,99.5979995727539
1739110636.4768379,175,99.58799743652344
1739110727.0692408,176,99.58799743652344
1739110817.6848903,177,99.66000366210938
1739110908.3107517,178,99.63400268554688
1739110999.2333336,179,99.66400146484375
1739111090.5538611,180,99.64800262451172
1739111182.1958425,181,99.71600341796875
1739111273.558648,182,99.69200134277344
1739111365.3191671,183,99.68800354003906
1739111457.0633748,184,99.72200012207031
1739111548.1388032,185,99.72599792480469
1739111638.8673775,186,99.73200225830078
1739111729.9231334,187,99.73400115966797
1739111821.4326072,188,99.71399688720703
1739111913.9005604,189,99.73400115966797
1739112006.2714689,190,99.73799896240234
1739112100.2654872,191,99.76399993896484
1739112194.823851,192,99.74199676513672
1739112289.36926,193,99.7760009765625
1739112380.7191243,194,99.75199890136719
1739112471.314897,195,99.76799774169922
1739112561.8098996,196,99.80799865722656
1739112652.3437815,197,99.77799987792969
1739112742.9632187,198,99.77400207519531
1739112833.3502352,199,99.79199981689453
