Wall time,Step,Value
1739040264.8726375,0,28.06800079345703
1739040352.8554564,1,32.981998443603516
1739040440.0918572,2,35.327999114990234
1739040528.8577745,3,36.72600173950195
1739040615.9298556,4,38.34199905395508
1739040703.1254103,5,39.50199890136719
1739040790.7538788,6,40.79999923706055
1739040878.017772,7,41.551998138427734
1739040965.911177,8,42.38800048828125
1739041052.9967012,9,42.59400177001953
1739041141.1134617,10,45.970001220703125
1739041228.1751137,11,48.39400100708008
1739041316.2317467,12,50.61800003051758
1739041403.4019248,13,53.34000015258789
1739041490.5633695,14,56.13399887084961
1739041578.6747978,15,57.58000183105469
1739041665.8398197,16,60.194000244140625
1739041753.039849,17,61.902000427246094
1739041841.817381,18,63.20399856567383
1739041928.8926158,19,64.9000015258789
1739042017.2561927,20,66.4219970703125
1739042104.0366259,21,67.50199890136719
1739042192.8599994,22,68.74600219726562
1739042279.5227747,23,69.96600341796875
1739042368.6858673,24,71.06199645996094
1739042455.6621287,25,71.9020004272461
1739042543.4143775,26,72.33399963378906
1739042629.9848564,27,73.85800170898438
1739042717.8051295,28,74.73400115966797
1739042804.2742574,29,75.00599670410156
1739042892.7395558,30,76.27200317382812
1739042979.2096689,31,76.83799743652344
1739043066.7145832,32,55.35200119018555
1739043150.8090112,33,10.0
1739043235.439671,34,9.960000038146973
1739043320.6255646,35,9.814000129699707
1739043404.6798334,36,9.819999694824219
1739043488.9199867,37,9.642000198364258
1739043575.2989373,38,9.751999855041504
1739043659.3291395,39,9.833999633789062
1739043744.1653001,40,9.52400016784668
1739043828.274088,41,9.718000411987305
1739043912.2872345,42,9.838000297546387
1739043997.1284063,43,9.838000297546387
1739044083.0424488,44,9.72599983215332
1739044167.3456762,45,9.75
1739044251.360345,46,9.88599967956543
1739044336.6471288,47,9.821999549865723
1739044420.7188976,48,9.654000282287598
1739044505.5706525,49,9.720000267028809
1739044591.6013238,50,9.800000190734863
1739044675.9968112,51,9.944000244140625
1739044761.0050335,52,9.807999610900879
1739044847.0786622,53,9.680000305175781
1739044931.3255732,54,9.86400032043457
1739045015.5654247,55,9.859999656677246
1739045100.0487409,56,9.833999633789062
