Wall time,Step,Value
1739014822.4653363,0,26.777999877929688
1739014947.1971612,1,32.68199920654297
1739015072.6568325,2,35.6619987487793
1739015197.9329543,3,37.625999450683594
1739015323.2540276,4,39.099998474121094
1739015448.3959973,5,40.37200164794922
1739015573.6803908,6,41.49800109863281
1739015698.8465338,7,42.402000427246094
1739015823.7927816,8,42.44200134277344
1739015948.239172,9,43.29600143432617
1739016072.6037285,10,44.73400115966797
1739016196.5113828,11,45.847999572753906
1739016320.2407582,12,46.448001861572266
1739016444.3409948,13,47.354000091552734
1739016568.533318,14,48.84000015258789
1739016693.0339594,15,49.779998779296875
1739016817.2605722,16,50.8120002746582
1739016941.2830517,17,51.91400146484375
1739017065.1565797,18,52.40599822998047
1739017189.4522583,19,53.097999572753906
1739017314.0961754,20,54.332000732421875
1739017569.6378033,21,55.209999084472656
1739017695.7827477,22,55.847999572753906
1739017821.348069,23,56.7140007019043
1739017968.6325026,24,58.36800003051758
1739018306.0540223,25,59.40599822998047
1739018644.1032977,26,60.029998779296875
1739018983.8657057,27,60.68000030517578
1739019324.023828,28,61.94599914550781
1739019629.9654243,29,62.720001220703125
1739019958.4732356,30,62.86600112915039
1739020298.9133968,31,63.49599838256836
1739020639.4752884,32,64.12000274658203
1739020982.4089775,33,65.01000213623047
1739021379.196866,34,65.39399719238281
1739021729.7774527,35,65.83000183105469
1739022077.0661416,36,66.302001953125
1739022418.6238647,37,66.91200256347656
1739022759.8163455,38,67.0199966430664
1739023144.0044181,39,67.55000305175781
1739023750.1848552,40,67.98999786376953
1739024351.6380956,41,68.22200012207031
1739024855.320277,42,68.95800018310547
1739025193.1673238,43,69.05000305175781
1739025531.8065429,44,70.04199981689453
1739025869.4705443,45,70.43199920654297
1739026208.1196651,46,70.75
1739026545.6823854,47,70.79399871826172
1739026883.866044,48,71.23999786376953
1739027221.9038866,49,71.63400268554688
1739027559.118093,50,72.40399932861328
1739027896.7743182,51,72.55599975585938
1739028233.4675562,52,72.7760009765625
1739028571.597597,53,72.74800109863281
1739028908.5026238,54,73.49199676513672
1739029245.924278,55,74.00800323486328
1739029583.6076853,56,74.4800033569336
1739029920.3453646,57,74.5780029296875
1739030256.9077485,58,74.76200103759766
1739030593.9823437,59,75.4260025024414
1739030931.4626865,60,75.71399688720703
1739031269.6202726,61,75.80000305175781
1739031607.577328,62,75.8219985961914
1739031944.116435,63,76.18800354003906
1739032278.9496148,64,76.94200134277344
1739032614.336285,65,77.697998046875
1739032949.807618,66,77.54199981689453
1739033285.946435,67,77.72799682617188
1739033622.3815637,68,77.97599792480469
1739033958.278356,69,78.3479995727539
1739034294.2828934,70,78.84200286865234
1739034631.9007328,71,79.15399932861328
1739034969.419067,72,79.2020034790039
1739035308.170548,73,79.95800018310547
1739035648.1435282,74,79.74400329589844
1739035993.1461082,75,79.77999877929688
1739036338.8298116,76,80.56400299072266
1739036685.853296,77,80.76200103759766
1739037030.2771747,78,81.30400085449219
1739037374.158378,79,81.26399993896484
1739037717.717376,80,81.27200317382812
1739038058.7726083,81,81.85600280761719
1739038393.9648466,82,82.04000091552734
1739038729.7443478,83,82.5479965209961
1739038957.2725568,84,82.48200225830078
1739039081.5047333,85,82.71800231933594
1739039205.7825804,86,82.86399841308594
1739039329.761326,87,83.2040023803711
1739039453.7090204,88,83.54399871826172
1739039577.906167,89,83.84600067138672
