Wall time,Step,Value
1739028810.8075573,0,26.729999542236328
1739028841.5642784,1,33.29399871826172
1739028873.5062337,2,35.395999908447266
1739028904.500899,3,36.74599838256836
1739028935.6457932,4,38.67599868774414
1739028966.6793528,5,39.81399917602539
1739028998.9151685,6,40.895999908447266
1739029030.9570596,7,41.763999938964844
1739029062.6671515,8,42.236000061035156
1739029093.9625041,9,42.7400016784668
1739029125.0519032,10,44.18199920654297
1739029155.9726143,11,45.13600158691406
1739029187.3953223,12,46.47200012207031
1739029218.526734,13,47.09600067138672
1739029405.2891207,0,26.465999603271484
1739029435.155166,1,32.50600051879883
1739029465.9492967,2,36.263999938964844
1739029497.6771567,3,38.17399978637695
1739029530.7334583,4,39.805999755859375
1739029562.8751225,5,40.459999084472656
1739029595.2694921,6,41.268001556396484
1739029626.5003364,7,41.709999084472656
1739029658.2980027,8,42.55799865722656
1739029689.3066165,9,43.02000045776367
1739029720.0532668,10,43.88600158691406
1739029751.5356789,11,44.96200180053711
1739029782.539673,12,45.582000732421875
1739029813.3660312,13,46.529998779296875
1739029844.0179167,14,47.30799865722656
1739029875.2768154,15,47.88800048828125
1739029907.1430564,16,48.55400085449219
1739029939.1200223,17,49.38600158691406
1739029970.4035769,18,49.89400100708008
1739030000.1509058,19,50.512001037597656
1739030029.3066995,20,51.27199935913086
1739030060.0006113,21,51.81399917602539
1739030091.9996395,22,52.2400016784668
1739030123.5983336,23,53.12200164794922
1739030155.3527265,24,53.75199890136719
1739030186.1428235,25,54.391998291015625
1739030216.6294992,26,55.25199890136719
1739030246.7531211,27,55.75
1739030278.3343077,28,56.40599822998047
1739030309.7137804,29,57.518001556396484
1739030341.1118698,30,57.790000915527344
1739030371.6233826,31,58.30799865722656
1739030403.2317007,32,58.97600173950195
1739030434.622425,33,59.77000045776367
1739030464.7841356,34,60.32400131225586
1739030493.8124402,35,60.95800018310547
1739030523.8198917,36,61.374000549316406
1739030555.3186514,37,61.77199935913086
1739030587.3056574,38,62.40800094604492
1739030617.1024554,39,62.90999984741211
1739030646.477107,40,63.08399963378906
1739030675.942511,41,63.970001220703125
1739030707.3138022,42,64.41000366210938
1739030739.4547162,43,64.56400299072266
1739030770.4853745,44,65.0739974975586
1739030802.3225112,45,65.78600311279297
1739030832.1126442,46,66.18599700927734
1739030861.778747,47,66.47000122070312
1739030893.4317017,48,66.83599853515625
1739030925.043824,49,67.38999938964844
1739030956.7785091,50,68.03399658203125
1739030988.366039,51,68.13400268554688
1739031018.0352123,52,68.90599822998047
1739031047.9992716,53,68.91999816894531
1739031078.901751,54,69.62999725341797
1739031110.5598288,55,70.00800323486328
1739031142.6389358,56,70.37799835205078
1739031173.1497605,57,70.55599975585938
1739031202.883924,58,71.25599670410156
1739031234.0531287,59,71.77999877929688
1739031265.9371326,60,72.04399871826172
1739031298.2986023,61,72.51200103759766
1739031329.548745,62,72.58399963378906
1739031359.4841766,63,73.09200286865234
1739031390.6154819,64,73.56600189208984
1739031422.6402614,65,74.1760025024414
1739031454.450051,66,74.71399688720703
1739031485.6191106,67,75.00199890136719
1739031515.1483693,68,75.15799713134766
1739031546.5257587,69,75.68000030517578
1739031576.4559639,70,76.20800018310547
1739031606.4512143,71,77.01399993896484
